Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos,obs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2496354579925537,0.31892022490501404,0.2525242269039154,-0.02300378866493702,-0.06659410148859024,-0.06977108120918274,-0.0399375781416893,0.2748105823993683,-0.2781605124473572,0.2519526481628418,-0.2889108657836914,-0.9446156024932861,0.8020279407501221,-0.7143048048019409,1.2678126096725464,"[-0.2496354579925537, 0.31892022490501404, 0.2525242269039154, 2.9600253105163574, 0.10374784469604492, -0.6529597640037537, 0.0003477036952972412, -0.03848624601960182, -0.9992590546607971, 1.0, 0.0, 0.8717533349990845, -0.02300378866493702, -0.06659410148859024, -0.06977108120918274, -0.0399375781416893, -0.1251894235610962, 0.1218394935131073, -0.14804735779762268, 0.11108914017677307, -0.14461559057235718, 0.0020279288291931152, 0.08569520711898804, 0.46781259775161743, -1.6350328922271729, -5.6748809814453125, -5.910508155822754, -3.2817115783691406, -0.5388498902320862, 3.513518810272217, -1.955693244934082, 2.302412986755371, 3.290942668914795, -4.516217231750488, -6.984227180480957, 7.035801887512207, 0.6340643763542175, -1.441806435585022, -3.779820442199707, 0.01440460979938507, -0.33273085951805115, 1.5281226634979248, -1.8704588413238525, 1.5308153629302979, -0.07356569170951843, -0.2782928943634033, -0.8856644630432129, 1.6490057706832886]"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23006436228752136,0.19369125366210938,0.03260247781872749,0.006377324927598238,-0.1659417301416397,-0.17518112063407898,-0.02947019785642624,0.27669182419776917,-0.19161546230316162,0.18728220462799072,-0.24430273473262787,-0.9125120639801025,0.7445604801177979,-0.8317223787307739,1.4281777143478394,"[-0.23006436228752136, 0.19369125366210938, 0.03260247781872749, 0.6100046634674072, 0.43455880880355835, -0.7472596168518066, 0.006978396326303482, -0.07069602608680725, -0.9974733591079712, 1.0, 0.0, 0.8790594339370728, 0.006377324927598238, -0.1659417301416397, -0.17518112063407898, -0.02947019785642624, -0.12330818176269531, 0.20838454365730286, -0.21271780133247375, 0.1556972712278366, -0.11251205205917358, -0.055439531803131104, -0.03172236680984497, 0.6281777024269104, 3.525430202484131, -3.9130144119262695, -4.733220100402832, 3.699207067489624, 0.5403540134429932, 4.602346420288086, -2.990539789199829, 0.9889633655548096, 2.3127098083496094, -5.000363349914551, -5.627929210662842, 9.898303031921387, 0.757509171962738, -0.7632933855056763, -0.9398660659790039, 2.943650007247925, 1.0362048149108887, 0.45257729291915894, 1.0823570489883423, -2.0395801067352295, 0.14421027898788452, -1.008196234703064, -0.5864870548248291, 2.5255484580993652]"
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18750274181365967,0.11729342490434647,-0.238056942820549,0.10956498980522156,-0.2239455133676529,-0.2664939761161804,0.10235519707202911,0.32855525612831116,-0.11567286401987076,0.17622262239456177,-0.28246447443962097,-0.8573460578918457,0.621584415435791,-0.9249883890151978,1.6212414503097534,"[-0.18750274181365967, 0.11729342490434647, -0.238056942820549, -0.5912780165672302, 0.5874295830726624, -0.6947833299636841, 0.01917015202343464, -0.06526052951812744, -0.9976840615272522, 1.0, 0.0, 0.8856350183486938, 0.10956498980522156, -0.2239455133676529, -0.2664939761161804, 0.10235519707202911, -0.07144474983215332, 0.2843271493911743, -0.2237773835659027, 0.1175355315208435, -0.05734604597091675, -0.17841559648513794, -0.1249883770942688, 0.8212414383888245, 5.723412990570068, -2.6459760665893555, -4.491771221160889, 7.406968593597412, 4.209894180297852, 3.006378173828125, 0.9845123887062073, -3.5873138904571533, 2.277487277984619, -5.285285472869873, -2.306370496749878, 7.856108665466309, 1.4777512550354004, -1.0469776391983032, -1.0859636068344116, 1.3542201519012451, 1.810713291168213, 0.06719525158405304, 1.623570442199707, -1.5123833417892456, 0.23560830950737, -1.2526679039001465, -0.10441865772008896, 2.119189739227295]"
3,0.0,0.0,0.0,1.7065896827261895e-05,0.0,127.01729583740234,0.0,0.0,0.0,0.0,0.0,0.0,-0.14144864678382874,0.07236140966415405,-0.5150715112686157,0.23590581119060516,-0.2675630748271942,-0.34761375188827515,0.265950471162796,0.44397273659706116,-0.08485321700572968,0.2539047300815582,-0.39189282059669495,-0.7864503860473633,0.5527997016906738,-0.937368631362915,1.7308950424194336,"[-0.14144864678382874, 0.07236140966415405, -0.5150715112686157, -0.9988836050033569, 0.6685203313827515, -0.5560848116874695, 0.032354798167943954, -0.04730011150240898, -0.998356819152832, 1.0, 0.0, 0.8914891481399536, 0.23590581119060516, -0.2675630748271942, -0.34761375188827515, 0.265950471162796, 0.04397273063659668, 0.315146803855896, -0.14609527587890625, 0.008107185363769531, 0.013549625873565674, -0.24720031023025513, -0.13736861944198608, 0.9308950304985046, 6.620852470397949, -1.3560948371887207, -3.6657826900482178, 8.770697593688965, 6.2643256187438965, 0.5436826348304749, 5.497491359710693, -6.3086018562316895, 4.884246349334717, 1.0056002140045166, -1.601442813873291, 5.909504413604736, 1.03230881690979, -0.8973746299743652, -0.7688415050506592, 2.0883350372314453, 1.792566180229187, -0.22549982368946075, 2.023423910140991, -1.4966176748275757, 0.5790229439735413, -1.2608482837677002, -0.6138315796852112, 2.848733901977539]"
4,0.0,0.0,0.0,1.2763970516971312e-05,0.0,94.99911499023438,0.0,0.0,0.0,0.0,0.0,0.0,-0.09093515574932098,0.04293402284383774,-0.6773294806480408,0.3562709093093872,-0.2730664908885956,-0.4221940338611603,0.4542936384677887,0.5792343616485596,-0.1183072105050087,0.383659690618515,-0.5317139625549316,-0.7027037143707275,0.5942622423171997,-0.9609928131103516,1.8808441162109375,"[-0.09093515574932098, 0.04293402284383774, -0.6773294806480408, -0.2894483804702759, 1.173723816871643, -0.4316973090171814, 0.05214565992355347, -0.03599197417497635, -0.997990608215332, 1.0, 0.0, 0.8958464860916138, 0.3562709093093872, -0.2730664908885956, -0.4221940338611603, 0.4542936384677887, 0.1792343556880951, 0.2816928029060364, -0.016340315341949463, -0.13171395659446716, 0.09729629755020142, -0.20573776960372925, -0.1609928011894226, 1.0808441638946533, 5.5335373878479, -0.3027417063713074, -3.749305248260498, 9.727856636047363, 7.142132759094238, -2.8975369930267334, 6.672719478607178, -7.1210408210754395, 2.5159802436828613, 3.366107225418091, 1.2780784368515015, 7.234453201293945, 1.3196027278900146, 0.1176111102104187, -0.6189390420913696, 1.2760369777679443, 1.5496017932891846, 0.33812516927719116, 1.7818267345428467, -1.2717230319976807, 0.24473321437835693, -0.09913021326065063, 0.1220817044377327, 3.1261839866638184]"
5,0.0,0.0,0.0,1.696235267445445e-05,0.0,126.24662780761719,0.0,0.0,0.0,0.0,0.0,0.0,-0.007863491773605347,0.03633314371109009,-0.8038129210472107,0.446032851934433,-0.2793775200843811,-0.4754706621170044,0.6466198563575745,0.7260207533836365,-0.1689317524433136,0.5303781628608704,-0.6577494740486145,-0.6502090096473694,0.6440763473510742,-0.931165337562561,1.958100438117981,"[-0.007863491773605347, 0.03633314371109009, -0.8038129210472107, 0.25321272015571594, 1.248856782913208, -0.33209168910980225, 0.0767449364066124, -0.03261685371398926, -0.9965168833732605, 1.0, 0.0, 0.8991438150405884, 0.446032851934433, -0.2793775200843811, -0.4754706621170044, 0.6466198563575745, 0.326020747423172, 0.23106825351715088, 0.13037815690040588, -0.25774946808815, 0.14979100227355957, -0.15592366456985474, -0.13116532564163208, 1.1581003665924072, 3.1329762935638428, -0.7897009253501892, -2.140260696411133, 8.89564323425293, 7.115964889526367, -2.8148040771484375, 7.965449333190918, -5.508414268493652, 4.666929721832275, 3.255708932876587, -1.5878260135650635, 0.4584016501903534, -0.2370816171169281, 0.5555227994918823, -0.5660363435745239, 1.5121445655822754, 0.6511985659599304, -0.01985146477818489, 1.6377607583999634, -0.4196583330631256, 1.0313193798065186, -0.43907541036605835, -0.7894132137298584, 2.01587176322937]"
6,0.0,0.0,0.0,7.426306183333509e-06,0.0,55.272178649902344,0.0,0.0,0.0,0.0,0.0,0.0,0.06717033684253693,-0.01048317551612854,-0.830460250377655,0.4409465491771698,-0.2721972167491913,-0.49154919385910034,0.7576709985733032,0.843411922454834,-0.21092824637889862,0.703222930431366,-0.6877284646034241,-0.5028128027915955,0.6871872544288635,-1.006396770477295,1.8680881261825562,"[0.06717033684253693, -0.01048317551612854, -0.830460250377655, 1.1301496028900146, 0.8318682909011841, -0.0873887911438942, 0.0965961366891861, -0.04762531444430351, -0.9941837787628174, 1.0, 0.0, 0.9006201028823853, 0.4409465491771698, -0.2721972167491913, -0.49154919385910034, 0.7576709985733032, 0.4434119164943695, 0.18907175958156586, 0.3032229244709015, -0.2877284586429596, 0.2971872091293335, -0.11281275749206543, -0.20639675855636597, 1.0680880546569824, -2.570448398590088, 1.2313611507415771, -0.09811456501483917, 2.7218077182769775, 4.837418079376221, -2.1033692359924316, 8.66767406463623, 1.5521719455718994, 8.206504821777344, 1.9884809255599976, -4.000364780426025, -6.851245880126953, -0.860636293888092, 2.5741755962371826, -0.4017939269542694, -0.010116085410118103, -0.5289680361747742, -2.1200520992279053, 0.11324402689933777, 2.7096681594848633, 1.5316178798675537, -0.717764675617218, -1.407434344291687, 1.140884518623352]"
7,0.0,0.0,0.0,2.8956714231753722e-05,0.0,215.51773071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.05396205559372902,-0.013997681438922882,-0.8321419954299927,0.3254212737083435,-0.2336939573287964,-0.4833977520465851,0.7082744240760803,0.894902229309082,-0.2642318308353424,0.8530170917510986,-0.577617347240448,-0.3498261272907257,0.7168298363685608,-1.1023435592651367,1.7166452407836914,"[0.05396205559372902, -0.013997681438922882, -0.8321419954299927, 2.0938844680786133, 0.9586726427078247, 0.041994787752628326, 0.11297845095396042, -0.08428152650594711, -0.9900164604187012, 1.0, 0.0, 0.9000378847122192, 0.3254212737083435, -0.2336939573287964, -0.4833977520465851, 0.7082744240760803, 0.49490222334861755, 0.13576817512512207, 0.45301708579063416, -0.17761734127998352, 0.45017388463020325, -0.08317017555236816, -0.30234354734420776, 0.9166452288627625, -6.608888626098633, 2.2434680461883545, 0.6772158741950989, -4.832676887512207, 1.0477898120880127, -2.806145191192627, 6.565608978271484, 6.771298885345459, 6.627082347869873, 0.5523251295089722, -5.8446478843688965, -7.228909969329834, -0.7519263625144958, 3.5881423950195312, -0.7074509859085083, -1.6704776287078857, -0.19969886541366577, -2.1155810356140137, 0.3963042199611664, 3.934431552886963, 1.0691601037979126, -2.7601583003997803, -1.9071695804595947, 0.88338702917099]"
8,0.0,0.0,0.0,3.2289233786286786e-05,0.0,240.3208770751953,0.0,0.0,0.0,0.0,0.0,0.0,0.018096040934324265,-0.07893172651529312,-0.8947609663009644,0.2072695940732956,-0.16830089688301086,-0.45937782526016235,0.5957716107368469,0.8645575642585754,-0.3200528025627136,0.9453049898147583,-0.43516477942466736,-0.24800989031791687,0.7007927894592285,-1.2314108610153198,1.5924091339111328,"[0.018096040934324265, -0.07893172651529312, -0.8947609663009644, 1.7076431512832642, 1.5315779447555542, 0.25640586018562317, 0.13892203569412231, -0.12166363000869751, -0.9828018546104431, 1.0, 0.0, 0.8969084024429321, 0.2072695940732956, -0.16830089688301086, -0.45937782526016235, 0.5957716107368469, 0.46455755829811096, 0.07994720339775085, 0.5453050136566162, -0.03516477346420288, 0.5519901514053345, -0.09920722246170044, -0.43141084909439087, 0.7924091219902039, -5.329093933105469, 3.9040210247039795, 1.3530858755111694, -5.882993221282959, -3.0896859169006348, -2.632606267929077, 3.255931854248047, 7.284726142883301, 5.6981520652771, -2.42342472076416, -4.753451824188232, -6.623199462890625, -0.7771362066268921, 1.045384168624878, -0.21327269077301025, -0.20540092885494232, -0.03657197952270508, -1.4645748138427734, 0.7928993701934814, 1.7654669284820557, 2.0077011585235596, -2.6563658714294434, -0.7064628005027771, -0.04344458132982254]"
9,0.0,0.0,0.0,1.0119861144630704e-05,0.0,75.31965637207031,0.0001366924843750894,0.0,1017.3687133789062,0.0,0.0,0.0,-0.00853605568408966,-0.08036711812019348,-1.0616413354873657,0.10639285296201706,-0.07336397469043732,-0.45256951451301575,0.47393178939819336,0.77350914478302,-0.3758154809474945,0.9698012471199036,-0.2878761291503906,-0.1106228455901146,0.6270642280578613,-1.2500693798065186,1.4234824180603027,"[-0.00853605568408966, -0.08036711812019348, -1.0616413354873657, 1.6755636930465698, 1.9686614274978638, 0.35046157240867615, 0.17266064882278442, -0.15195338428020477, -0.9731898307800293, 1.0, 0.0, 0.8907147645950317, 0.10639285296201706, -0.07336397469043732, -0.45256951451301575, 0.47393178939819336, 0.37350913882255554, 0.02418452501296997, 0.5698012113571167, 0.11212387681007385, 0.6893771886825562, -0.17293578386306763, -0.4500693678855896, 0.6234824061393738, -5.410637855529785, 5.006697177886963, -4.69287633895874, -6.5398945808410645, -4.961817741394043, -3.346923828125, 2.7192795276641846, 7.113595485687256, 6.658418655395508, -6.492326736450195, -5.135916233062744, -8.542908668518066, -1.3176240921020508, 2.0897085666656494, -0.09228482842445374, -0.10251204669475555, -0.3113301396369934, -2.049830198287964, -0.16704753041267395, 2.6451401710510254, 2.3412487506866455, -1.8182742595672607, -0.938208281993866, 0.23706680536270142]"
