Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z
0,8.982243889477104e-05,0.0,668.5264892578125,1.8110144992533606e-06,0.0,13.478938102722168,0.0,0.0,0.0,0.0,0.0,0.0,0.09804385900497437,0.23443585634231567,-0.40660303831100464
1,6.079796366975643e-05,0.0,452.50439453125,6.435929390136153e-05,0.0,479.010498046875,5.892373337701429e-06,0.0,43.85549545288086,2.708012834773399e-05,0.0,201.55076599121094,0.012175441719591618,0.1300477385520935,-0.20848193764686584
2,1.2797843737644143e-05,0.0,95.25122833251953,4.082825034856796e-05,0.0,303.87469482421875,4.845512648898875e-06,0.0,36.06396484375,3.45666085195262e-05,0.0,257.27081298828125,0.044439561665058136,0.02160966955125332,-0.0642567127943039
3,6.076505815144628e-05,0.0,452.25946044921875,1.5358802556875162e-05,0.0,114.31181335449219,0.0,0.0,0.0,1.4933219063095748e-05,0.0,111.14430236816406,0.005356904584914446,-0.11088494211435318,-0.011926203966140747
4,5.953771687927656e-05,0.0,443.1246643066406,5.560909357882338e-06,0.0,41.38848876953125,0.0,0.0,0.0,2.052661875495687e-05,0.0,152.7746124267578,-0.09198158234357834,-0.18902860581874847,-0.00025755446404218674
5,5.09835772390943e-05,0.0,379.4583435058594,3.0896881071384996e-06,0.0,22.99579429626465,0.0,0.0,0.0,2.883647903217934e-05,0.0,214.6228485107422,-0.17563015222549438,-0.24533526599407196,0.02562706172466278
6,3.913518594345078e-05,0.0,291.2735900878906,1.184864544256925e-07,0.0,0.8818657398223877,0.0,0.0,0.0,2.862855399143882e-05,0.0,213.07533264160156,-0.23813806474208832,-0.27194446325302124,0.019748343154788017
7,3.6103756428929046e-05,0.0,268.71142578125,2.9291586542967707e-06,0.0,21.80101203918457,0.0,0.0,0.0,2.71927856374532e-05,0.0,202.38926696777344,-0.2928033769130707,-0.2876579463481903,-0.002045031636953354
8,3.75875060854014e-05,0.0,279.7546081542969,8.110720045806374e-06,0.0,60.36610412597656,0.0,0.0,0.0,2.4596592993475497e-05,0.0,183.06643676757812,-0.34128206968307495,-0.3213220238685608,-0.01611044444143772
9,3.557935997378081e-05,0.0,264.8085021972656,1.8541650206316262e-05,0.0,138.00096130371094,0.0,0.0,0.0,2.410146225884091e-05,0.0,179.3813018798828,-0.38406020402908325,-0.36760783195495605,-0.00855475477874279
10,3.053523687412962e-05,0.0,227.2663116455078,1.9719986084965058e-05,0.0,146.7710418701172,0.0,0.0,0.0,2.370129914197605e-05,0.0,176.40298461914062,-0.40707749128341675,-0.426972895860672,0.0024089105427265167
11,2.6686546334531158e-05,0.0,198.62144470214844,1.9515338863129728e-05,0.0,145.24789428710938,0.0,0.0,0.0,2.4239136109827086e-05,0.0,180.4059600830078,-0.4134119153022766,-0.48663514852523804,-0.00021247193217277527
12,2.3418007913278416e-05,0.0,174.2945098876953,1.5629437257302925e-05,0.0,116.32608032226562,0.0,0.0,0.0,2.6342175260651857e-05,0.0,196.05836486816406,-0.417662650346756,-0.5417698621749878,-0.014321660622954369
13,2.2780151994084008e-05,0.0,169.54710388183594,9.325115570391063e-06,0.0,69.40455627441406,0.0,0.0,0.0,3.0141103707137518e-05,0.0,224.33285522460938,-0.4253554046154022,-0.585724949836731,-0.03770538046956062
14,2.1583877241937444e-05,0.0,160.64352416992188,2.9118127713445574e-06,0.0,21.671911239624023,4.284279384592082e-06,0.0,31.8868465423584,3.581635246518999e-05,0.0,266.5723571777344,-0.43440181016921997,-0.6178081631660461,-0.06355403363704681
15,1.8919197827926837e-05,0.0,140.8109588623047,1.9913688902306603e-06,0.0,14.821271896362305,2.4436858439003117e-06,0.0,18.187755584716797,4.1908886487362906e-05,0.0,311.9176025390625,-0.44360560178756714,-0.6161524653434753,-0.08399984985589981
16,2.0373579900478944e-05,0.0,151.6355743408203,1.9997924027848057e-06,0.0,14.883965492248535,8.871277259459021e-07,0.0,6.60267448425293,4.463281948119402e-05,0.0,332.191162109375,-0.4364287257194519,-0.6115385293960571,-0.103669673204422
17,2.0051955289090984e-05,0.0,149.24179077148438,1.7711229247652227e-06,0.0,13.182035446166992,2.224782747362042e-06,0.0,16.558513641357422,4.3668478610925376e-05,0.0,325.0138244628906,-0.4302108585834503,-0.6251623630523682,-0.12278080731630325
18,1.4824702702753711e-05,0.0,110.33663940429688,3.431697905398323e-06,0.0,25.541288375854492,5.426476946013281e-06,0.0,40.387943267822266,4.058196645928547e-05,0.0,302.04168701171875,-0.4169742166996002,-0.6378552913665771,-0.15099197626113892
19,7.50771823732066e-06,0.0,55.878108978271484,5.999849236104637e-06,0.0,44.65541076660156,1.286668521061074e-05,0.0,95.76359558105469,3.487255162326619e-05,0.0,259.5478515625,-0.38989052176475525,-0.6512105464935303,-0.18602611124515533
20,2.6431982860231074e-06,0.0,19.672677993774414,1.0396111065347213e-05,0.0,77.37571716308594,3.417781044845469e-05,0.0,254.3770751953125,2.4636696252855472e-05,0.0,183.3649139404297,-0.3542487323284149,-0.6571981906890869,-0.20494070649147034
21,3.181974363997142e-07,0.0,2.3682658672332764,2.3491185856983066e-05,0.0,174.8391571044922,3.616670801420696e-05,0.0,269.1799621582031,1.293447712669149e-05,0.0,96.26815032958984,-0.3368544280529022,-0.6560471653938293,-0.18994149565696716
