Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,0.0,0.0,0.0,5.382735707826214e-06,0.0,40.06238555908203,8.471586170344381e-07,0.0,6.305194854736328,0.0,0.0,0.0,-0.012736951932311058,0.022163068875670433,0.6648039817810059,-0.02205272577702999,-0.006666454020887613,-0.023322047665715218,-0.007213434670120478,0.21643878519535065,-0.1698123663663864,0.17302434146404266,-0.2391192466020584,-0.38692507147789,0.2896183729171753,-0.2959139347076416,0.4294786751270294
1,0.0,0.0,0.0,5.957999746897258e-06,0.0,44.343936920166016,2.3849452190916054e-05,0.0,177.50564575195312,0.0,0.0,0.0,-0.015191218815743923,0.0011633706744760275,0.41125792264938354,-0.020397353917360306,0.020100463181734085,-0.020066706463694572,0.03013424389064312,0.37909966707229614,-0.27628010511398315,0.24943292140960693,-0.39813926815986633,-0.6445884108543396,0.463420033454895,-0.4142901301383972,0.7269344925880432
2,0.0,0.0,0.0,8.108242582238745e-06,0.0,60.34766387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.03820253536105156,0.03268107771873474,0.09988334774971008,-0.034343987703323364,-0.01519930362701416,0.0305369570851326,0.08721940964460373,0.5475788116455078,-0.3477725386619568,0.32225489616394043,-0.4914867877960205,-0.8076640963554382,0.5371784567832947,-0.4464210867881775,0.9270332455635071
3,0.0,0.0,0.0,1.6981377484626137e-05,0.0,126.38823699951172,0.0,0.0,0.0,0.0,0.0,0.0,0.042420025914907455,0.007324297912418842,-0.1678687036037445,-0.10002768784761429,-0.02880040556192398,0.07613278925418854,0.12169124186038971,0.6581152081489563,-0.3577647805213928,0.3562920391559601,-0.5035138726234436,-0.8920038342475891,0.5666486024856567,-0.5102869272232056,0.9118977189064026
4,0.0,0.0,0.0,0.0,0.0,0.0,5.303953457769239e-06,0.0,39.47603225708008,0.00010102003579959273,0.0,751.8673706054688,0.05963628739118576,0.02253064699470997,-0.40910449624061584,-0.22080902755260468,-0.05535002052783966,0.07610798627138138,0.14723004400730133,0.6784517765045166,-0.38098472356796265,0.33992666006088257,-0.44232916831970215,-0.8485000729560852,0.592363715171814,-0.635524332523346,0.7182511687278748
5,5.0846261729020625e-05,0.0,378.4363098144531,0.0,0.0,0.0,0.0,0.0,0.0,3.5612589272204787e-05,0.0,265.0557861328125,0.1813027709722519,0.07660067081451416,-0.1801874190568924,-0.24936190247535706,-0.1089911088347435,0.0962071493268013,0.1639782339334488,0.707339882850647,-0.40764299035072327,0.3394034504890442,-0.46146446466445923,-0.9297060966491699,0.6585605144500732,-0.7854101061820984,0.7153958678245544
6,3.740774263860658e-05,0.0,278.4166564941406,0.0,0.0,0.0,1.9141727989335777e-06,0.0,14.246720314025879,2.574043901404366e-05,0.0,191.5797882080078,0.1859865039587021,0.04241129383444786,-0.14563816785812378,-0.2622184157371521,-0.1855670064687729,0.142573744058609,0.1854395866394043,0.7548636198043823,-0.42815569043159485,0.3645225465297699,-0.4502619206905365,-1.042747139930725,0.7875885367393494,-0.8971629738807678,0.6783052682876587
7,4.328392242314294e-05,0.0,322.15167236328125,0.0,0.0,0.0,5.54141706743394e-07,0.0,4.124341011047363,3.350042607053183e-05,0.0,249.33547973632812,0.1828235387802124,0.030579086393117905,-0.1461118459701538,-0.27932918071746826,-0.25258681178092957,0.17554888129234314,0.2065948247909546,0.7918402552604675,-0.43914833664894104,0.3884459137916565,-0.44825389981269836,-1.1101863384246826,0.8389391303062439,-0.9705410599708557,0.6898460984230042
8,3.534085408318788e-05,0.0,263.0333251953125,0.0,0.0,0.0,2.423744035695563e-06,0.0,18.03933334350586,3.3884298318298534e-05,0.0,252.1925506591797,0.21946468949317932,0.03451608866453171,-0.09176189452409744,-0.2972260117530823,-0.3032779395580292,0.23326489329338074,0.22367511689662933,0.8188864588737488,-0.4371754825115204,0.42089658975601196,-0.44397488236427307,-1.138609528541565,0.917167603969574,-1.0284597873687744,0.718904435634613
9,3.243084574933164e-05,0.0,241.37484741210938,0.0,0.0,0.0,1.7399304852006026e-05,0.0,129.49876403808594,2.5362487576785497e-05,0.0,188.7667999267578,0.2242719680070877,0.05009313300251961,-0.12175670266151428,-0.3266181945800781,-0.32799044251441956,0.23970675468444824,0.23200510442256927,0.8425273299217224,-0.44520649313926697,0.44245442748069763,-0.4407447576522827,-1.1565693616867065,0.9369751811027527,-1.0640459060668945,0.7558771967887878
10,2.509059413569048e-05,0.0,186.7431640625,0.0,0.0,0.0,1.1065660146414302e-05,0.0,82.35900115966797,3.27802226820495e-05,0.0,243.97515869140625,0.22194400429725647,0.07040034234523773,-0.07196304947137833,-0.33549466729164124,-0.31418710947036743,0.22196915745735168,0.25764283537864685,0.8682327270507812,-0.4323521852493286,0.47606196999549866,-0.42892807722091675,-1.1594088077545166,0.8718743324279785,-1.0611075162887573,0.7955433130264282
11,2.141946242772974e-05,0.0,159.41983032226562,2.9152302886359394e-05,0.0,216.9734649658203,2.022521039179992e-05,0.0,150.5312957763672,1.5458135749213398e-05,0.0,115.0511245727539,0.26414668560028076,0.11106927692890167,-0.060391221195459366,-0.3442581295967102,-0.31036582589149475,0.2045384794473648,0.27393749356269836,0.8916009664535522,-0.40029072761535645,0.5093762874603271,-0.41284483671188354,-1.1448261737823486,0.8486610054969788,-1.0459046363830566,0.838698148727417
12,0.0,0.0,0.0,3.0178793167578988e-05,0.0,224.61337280273438,3.344330616528168e-05,0.0,248.91033935546875,1.3413125543593196e-06,0.0,9.983061790466309,0.2549884021282196,0.11018238961696625,-0.02806052193045616,-0.33889710903167725,-0.30979225039482117,0.19022241234779358,0.2722921669483185,0.8957789540290833,-0.38204270601272583,0.5356289744377136,-0.3957594335079193,-1.15833580493927,0.8693076968193054,-1.032408356666565,0.8567848801612854
13,0.0,0.0,0.0,3.768219175981358e-05,0.0,280.4593200683594,3.3718628401402384e-05,0.0,250.9595184326172,0.0,0.0,0.0,0.23952896893024445,0.12869985401630402,-0.035054583102464676,-0.2842150926589966,-0.3127046227455139,0.18022233247756958,0.2343447357416153,0.8365505933761597,-0.36478450894355774,0.5572879910469055,-0.40958908200263977,-1.2605243921279907,0.8913358449935913,-1.0175609588623047,0.9060551524162292
14,0.0,0.0,0.0,4.798679947271012e-05,0.0,357.1540222167969,2.6372477805125527e-05,0.0,196.28390502929688,0.0,0.0,0.0,0.29088255763053894,0.14030048251152039,-0.02721242420375347,-0.2212822437286377,-0.3125477135181427,0.17391930520534515,0.19510088860988617,0.7525210976600647,-0.3432981073856354,0.5794693827629089,-0.4722084701061249,-1.3155728578567505,0.896652102470398,-1.0127770900726318,1.021262526512146
