Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z
17,3.4655527997529134e-05,0.0,257.9326171875,0.0,0.0,0.0,0.0,0.0,0.0,2.0669216610258445e-05,0.0,153.83592224121094,-0.5437681078910828,-1.214377522468567,-0.03526486083865166
18,9.244709872291423e-06,0.0,68.80611419677734,2.058508835034445e-05,0.0,153.20977783203125,0.0,0.0,0.0,0.0,0.0,0.0,-0.5951094031333923,-1.2317256927490234,-0.24083943665027618
19,0.0,0.0,0.0,4.2040082917083055e-05,0.0,312.89404296875,2.9925266062491573e-05,0.0,222.7264404296875,0.0,0.0,0.0,-0.5123686194419861,-1.1547080278396606,-0.24702297151088715
20,0.0,0.0,0.0,4.5996694097993895e-05,0.0,342.3421630859375,5.339979907148518e-05,0.0,397.441650390625,0.0,0.0,0.0,-0.4889664947986603,-1.1067914962768555,-0.14774905145168304
21,0.0,0.0,0.0,4.499634087551385e-05,0.0,334.89678955078125,4.7585170250386e-05,0.0,354.164794921875,0.0,0.0,0.0,-0.4586256742477417,-1.0945262908935547,-0.021518271416425705
22,0.0,0.0,0.0,4.349898881628178e-05,0.0,323.7523498535156,4.450668711797334e-05,0.0,331.2524108886719,0.0,0.0,0.0,-0.4253140389919281,-1.210657000541687,0.06824536621570587
23,0.0,0.0,0.0,3.451651718933135e-05,0.0,256.89801025390625,3.8230726204346865e-05,0.0,284.54193115234375,0.0,0.0,0.0,-0.47186172008514404,-1.3115415573120117,0.1296057105064392
24,5.700037945643999e-06,0.0,42.423988342285156,1.28328583741677e-05,0.0,95.51183319091797,4.341488875070354e-06,0.0,32.31264114379883,0.0,0.0,0.0,-0.49997612833976746,-1.3853644132614136,0.02484210953116417
25,4.591924152919091e-05,0.0,341.76568603515625,0.0,0.0,0.0,0.0,0.0,0.0,4.337549762567505e-05,0.0,322.833251953125,-0.5575217604637146,-1.2521413564682007,0.00903989840298891
26,4.5859647798351943e-05,0.0,341.3221740722656,0.0,0.0,0.0,0.0,0.0,0.0,3.371814455022104e-05,0.0,250.9558868408203,-0.6379534006118774,-1.2010955810546875,0.08314348757266998
27,3.725687201949768e-05,0.0,277.2937927246094,0.0,0.0,0.0,0.0,0.0,0.0,3.326684964122251e-05,0.0,247.59703063964844,-0.7319748997688293,-1.229231834411621,0.08446824550628662
28,3.555349394446239e-05,0.0,264.6159362792969,0.0,0.0,0.0,0.0,0.0,0.0,7.196679689513985e-06,0.0,53.56312561035156,-0.855917751789093,-1.3066656589508057,-0.03181426599621773
29,9.299538760387804e-06,0.0,69.21418762207031,3.206763358321041e-05,0.0,238.67153930664062,0.0,0.0,0.0,0.0,0.0,0.0,-0.9549880027770996,-1.298632264137268,-0.22459766268730164
30,0.0,0.0,0.0,4.723241727333516e-05,0.0,351.5393371582031,0.0,0.0,0.0,0.0,0.0,0.0,-0.8043890595436096,-1.2713583707809448,-0.2412460446357727
31,0.0,0.0,0.0,4.275227911421098e-05,0.0,318.19476318359375,4.059923958266154e-05,0.0,302.1701965332031,0.0,0.0,0.0,-0.6639176607131958,-1.2638899087905884,-0.10830054432153702
32,0.0,0.0,0.0,4.299540159991011e-05,0.0,320.0042724609375,4.834359424421564e-05,0.0,359.8095703125,0.0,0.0,0.0,-0.5667200088500977,-1.2839040756225586,0.025217536836862564
33,0.0,0.0,0.0,2.7816420697490685e-05,0.0,207.03082275390625,4.3279011151753366e-05,0.0,322.1151123046875,0.0,0.0,0.0,-0.5806667804718018,-1.3488799333572388,0.10850252211093903
34,0.0,0.0,0.0,2.1728345018345863e-05,0.0,161.71878051757812,3.320362156955525e-05,0.0,247.12643432617188,0.0,0.0,0.0,-0.6585461497306824,-1.4235590696334839,0.06949621438980103
35,2.281675006088335e-05,0.0,169.81948852539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7429161071777344,-1.4270457029342651,-0.105404794216156
36,4.564975461107679e-05,0.0,339.7599792480469,0.0,0.0,0.0,0.0,0.0,0.0,4.721942241303623e-05,0.0,351.442626953125,-0.7622804045677185,-1.3061262369155884,-0.03726084530353546
37,3.733577614184469e-05,0.0,277.88104248046875,0.0,0.0,0.0,0.0,0.0,0.0,3.9221966289915144e-05,0.0,291.91949462890625,-0.8388072848320007,-1.2800017595291138,0.05151621997356415
38,3.1557781767332926e-05,0.0,234.87684631347656,0.0,0.0,0.0,0.0,0.0,0.0,2.936559758381918e-05,0.0,218.5609588623047,-0.9060651063919067,-1.3427042961120605,0.033086854964494705
39,1.837635863921605e-05,0.0,136.77073669433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.002882719039917,-1.3675371408462524,-0.1241191104054451
40,0.0,0.0,0.0,4.8677549784770235e-05,0.0,362.29510498046875,0.0,0.0,0.0,0.0,0.0,0.0,-0.949871301651001,-1.3122754096984863,-0.3699682354927063
41,0.0,0.0,0.0,4.876898674410768e-05,0.0,362.9756774902344,5.291999696055427e-05,0.0,393.87060546875,0.0,0.0,0.0,-0.8038047552108765,-1.2971080541610718,-0.2714619040489197
42,0.0,0.0,0.0,4.807574805454351e-05,0.0,357.8160400390625,5.037319351686165e-05,0.0,374.9153747558594,0.0,0.0,0.0,-0.707487165927887,-1.2803370952606201,-0.08055140823125839
43,0.0,0.0,0.0,3.5725595807889476e-05,0.0,265.8968505859375,4.161933975410648e-05,0.0,309.7625732421875,0.0,0.0,0.0,-0.6705250144004822,-1.3237130641937256,0.06538118422031403
44,0.0,0.0,0.0,3.053690306842327e-05,0.0,227.2786865234375,3.808414840023033e-05,0.0,283.4510192871094,0.0,0.0,0.0,-0.7193902730941772,-1.4395164251327515,0.05881910398602486
45,1.0620661669236142e-05,0.0,79.0469970703125,1.9214828625990776e-06,0.0,14.301127433776855,1.2403716027620248e-06,0.0,9.231782913208008,0.0,0.0,0.0,-0.7703904509544373,-1.506026268005371,-0.039673879742622375
46,5.087648969492875e-05,0.0,378.6612854003906,0.0,0.0,0.0,0.0,0.0,0.0,6.109230889705941e-05,0.0,454.69512939453125,-0.8110483884811401,-1.391532301902771,-0.07055137306451797
47,3.978224049205892e-05,0.0,296.0894775390625,0.0,0.0,0.0,0.0,0.0,0.0,3.3977012208197266e-05,0.0,252.88259887695312,-0.8483993411064148,-1.3471307754516602,0.07489140331745148
48,3.1052430131239817e-05,0.0,231.1156463623047,0.0,0.0,0.0,0.0,0.0,0.0,3.059558366658166e-05,0.0,227.71543884277344,-0.8996601700782776,-1.395859718322754,0.031122803688049316
49,2.970658715639729e-05,0.0,221.09884643554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0423877239227295,-1.4597411155700684,-0.07064171135425568
50,0.0,0.0,0.0,3.776328594540246e-05,0.0,281.0628967285156,0.0,0.0,0.0,0.0,0.0,0.0,-1.0410254001617432,-1.4198288917541504,-0.31729650497436523
51,0.0,0.0,0.0,5.2131348638795316e-05,0.0,388.0008544921875,4.8231329856207594e-05,0.0,358.9739685058594,0.0,0.0,0.0,-0.889455258846283,-1.356472134590149,-0.17320851981639862
52,0.0,0.0,0.0,4.433788126334548e-05,0.0,329.9960021972656,4.4476888433564454e-05,0.0,331.0306091308594,0.0,0.0,0.0,-0.8303713202476501,-1.3419780731201172,-0.028767306357622147
53,0.0,0.0,0.0,3.9112688682507724e-05,0.0,291.1061706542969,4.4515942136058584e-05,0.0,331.3212890625,0.0,0.0,0.0,-0.8257896304130554,-1.385365605354309,0.07314923405647278
54,0.0,0.0,0.0,3.1975232559489086e-05,0.0,237.9838409423828,2.5572617232683115e-05,0.0,190.33074951171875,0.0,0.0,0.0,-0.8740137815475464,-1.485373854637146,0.0784674733877182
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1739800760988146e-05,0.0,236.2315673828125,-0.9076219201087952,-1.5287384986877441,-0.07651844620704651
56,5.4332922445610166e-05,0.0,404.38665771484375,0.0,0.0,0.0,0.0,0.0,0.0,3.774663855438121e-05,0.0,280.9389953613281,-0.8763103485107422,-1.3335585594177246,-0.039920829236507416
57,4.724895188701339e-05,0.0,351.6623840332031,0.0,0.0,0.0,0.0,0.0,0.0,3.872130037052557e-05,0.0,288.1931457519531,-0.947644054889679,-1.3287780284881592,0.04494069516658783
58,3.277507858001627e-05,0.0,243.93687438964844,0.0,0.0,0.0,0.0,0.0,0.0,2.8755968742188998e-05,0.0,214.0236358642578,-1.0038979053497314,-1.3459513187408447,0.03303976356983185
59,2.4530569135094993e-05,0.0,182.57504272460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1252567768096924,-1.3871586322784424,-0.12336193025112152
60,8.814392913336633e-07,0.0,6.560336589813232,4.2529434722382575e-05,0.0,316.53619384765625,5.3161078540142626e-05,0.0,395.6649169921875,0.0,0.0,0.0,-1.1347404718399048,-1.3258957862854004,-0.36942732334136963
61,0.0,0.0,0.0,5.0100799853680655e-05,0.0,372.8880310058594,4.2386793211335316e-05,0.0,315.47454833984375,0.0,0.0,0.0,-1.0006154775619507,-1.2512280941009521,-0.19498173892498016
62,0.0,0.0,0.0,4.451223139767535e-05,0.0,331.29364013671875,4.78643923997879e-05,0.0,356.24298095703125,0.0,0.0,0.0,-0.9282041788101196,-1.214403748512268,-0.028595147654414177
63,0.0,0.0,0.0,4.202732816338539e-05,0.0,312.79913330078125,3.997047315351665e-05,0.0,297.4904479980469,0.0,0.0,0.0,-0.8719741702079773,-1.262635588645935,0.09355750679969788
64,0.0,0.0,0.0,2.8292834031162784e-05,0.0,210.57666015625,3.644818934844807e-05,0.0,271.27496337890625,0.0,0.0,0.0,-0.888361930847168,-1.357306718826294,0.14275729656219482
65,0.0,0.0,0.0,7.776829079375602e-06,0.0,57.881038665771484,1.7556793636686052e-06,0.0,13.067091941833496,4.093652023584582e-06,0.0,30.468050003051758,-0.9662479758262634,-1.4232029914855957,0.07050253450870514
66,5.42229026905261e-05,0.0,403.5677795410156,0.0,0.0,0.0,0.0,0.0,0.0,4.082942905370146e-05,0.0,303.8834533691406,-0.8964842557907104,-1.2414679527282715,0.014418506994843483
67,4.2579409637255594e-05,0.0,316.90814208984375,0.0,0.0,0.0,0.0,0.0,0.0,3.2096246286528185e-05,0.0,238.884521484375,-0.9277504682540894,-1.182241439819336,0.058858342468738556
68,3.815887976088561e-05,0.0,284.0072021484375,0.0,0.0,0.0,0.0,0.0,0.0,3.12942975142505e-05,0.0,232.91580200195312,-0.9672765731811523,-1.1851537227630615,0.038632914423942566
