Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,0.0,0.0,0.0,5.556953510676976e-06,0.0,41.35905075073242,0.0,0.0,0.0,0.0,0.0,0.0,-0.016809670254588127,-0.028853274881839752,0.6008746027946472,-0.03676721081137657,-0.022102203220129013,-0.03821161389350891,-0.02251497097313404,0.19353008270263672,-0.17088770866394043,0.2045476734638214,-0.2583285868167877,-0.34509819746017456,0.2931916415691376,-0.34849074482917786,0.4606931209564209
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012130949646234512,-0.043922923505306244,0.29829469323158264,-0.054559096693992615,-0.027306975796818733,-0.059088386595249176,-0.028993751853704453,0.33439701795578003,-0.2667575180530548,0.3139616549015045,-0.432070255279541,-0.5853971242904663,0.4367205500602722,-0.5553796291351318,0.6900162100791931
2,0.0,0.0,0.0,8.84416522239917e-07,0.0,6.582496166229248,0.0,0.0,0.0,0.0,0.0,0.0,-0.10442095994949341,-0.08962076157331467,-0.03866390883922577,-0.011620855890214443,-0.17321056127548218,-0.07156053185462952,0.0002332653821213171,0.413210391998291,-0.4276895821094513,0.3729468286037445,-0.6497955322265625,-0.6680242419242859,0.5065577030181885,-0.8281888961791992,0.6931607723236084
3,0.0,0.0,0.0,1.4062219406696386e-06,0.0,10.466165542602539,0.0,0.0,0.0,0.0,0.0,0.0,-0.09852772951126099,-0.14628775417804718,-0.35314926505088806,0.05162936449050903,-0.3185793459415436,-0.03386856988072395,0.12966986000537872,0.3160567283630371,-0.5897728800773621,0.3990769684314728,-0.7764229774475098,-0.519986093044281,0.6086097359657288,-0.9644255042076111,0.6962568759918213
4,4.2596343519107904e-06,0.0,31.703414916992188,3.361902417964302e-05,0.0,250.21817016601562,5.537120159715414e-05,0.0,412.11431884765625,0.0,0.0,0.0,-0.11049775779247284,-0.15930020809173584,-0.43177953362464905,0.04428338631987572,-0.3725314438343048,0.021821314468979836,0.10611042380332947,0.26080501079559326,-0.6852772235870361,0.32458192110061646,-0.7317595481872559,-0.47465598583221436,0.7083816528320312,-0.921073853969574,0.8892990350723267
5,0.0,0.0,0.0,3.448696588748135e-05,0.0,256.67803955078125,5.113354200148024e-05,0.0,380.5744323730469,0.0,0.0,0.0,-0.3200123906135559,-0.052337951958179474,-0.2738454341888428,-0.03544282913208008,-0.4040663540363312,0.009212798438966274,0.01699380949139595,0.3416749835014343,-0.749534010887146,0.1907622367143631,-0.5981727242469788,-0.7180863618850708,0.8124204874038696,-0.8608150482177734,1.151849389076233
6,0.0,0.0,0.0,5.46159571968019e-05,0.0,406.49322509765625,1.7472561012255028e-05,0.0,130.0439910888672,0.0,0.0,0.0,-0.3671205937862396,-0.11596576869487762,-0.2532272934913635,-0.15452741086483002,-0.41859564185142517,0.03362993150949478,-0.017519736662507057,0.49123406410217285,-0.811073362827301,-0.004613481927663088,-0.45390987396240234,-0.996313214302063,0.8930062651634216,-0.7102644443511963,1.1866710186004639
7,0.0,0.0,0.0,4.3388215999584645e-05,0.0,322.9278869628906,2.4796705474727787e-05,0.0,184.55581665039062,0.0,0.0,0.0,-0.4675018787384033,-0.18400683999061584,-0.20204724371433258,-0.20885030925273895,-0.3906305432319641,0.10706421732902527,0.04953714460134506,0.5828889608383179,-0.8741196990013123,-0.1550120860338211,-0.392503023147583,-1.0238350629806519,0.9346989989280701,-0.6088913679122925,1.0722311735153198
8,4.435924711287953e-05,0.0,330.155029296875,2.2252627331909025e-06,0.0,16.56208610534668,4.9351552178222846e-08,0.0,0.3673115372657776,1.408564185112482e-05,0.0,104.83598327636719,-0.4571084678173065,-0.2780822813510895,-0.22527581453323364,-0.1992470622062683,-0.3725284934043884,0.14942467212677002,0.08715924620628357,0.5746712684631348,-0.9223785400390625,-0.1971336305141449,-0.41557809710502625,-1.060461401939392,0.9640538692474365,-0.6136226654052734,0.9368249177932739
9,3.76007919840049e-05,0.0,279.853515625,0.0,0.0,0.0,1.5389034615509445e-06,0.0,11.453681945800781,3.666058910312131e-05,0.0,272.85577392578125,-0.3945005238056183,-0.3142913281917572,-0.06859979033470154,-0.16086222231388092,-0.2459050863981247,0.14441996812820435,0.115140900015831,0.5411373376846313,-0.8431122899055481,-0.028951911255717278,-0.47362759709358215,-1.0402002334594727,1.180065393447876,-0.7791511416435242,1.0145344734191895
