Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,0.0,0.0,0.0,6.022954039508477e-06,0.0,44.82737350463867,9.808309187064879e-06,0.0,73.00083923339844,0.0,0.0,0.0,-0.015745380893349648,0.0008698333986103535,0.6710944175720215,-0.01600046642124653,-0.0009712588507682085,-0.017130818217992783,-0.0013465476222336292,0.21324613690376282,-0.17379337549209595,0.16768582165241241,-0.24067223072052002,-0.3792922794818878,0.29820773005485535,-0.28421711921691895,0.4292443096637726
1,0.0,0.0,0.0,2.47264324571006e-05,0.0,184.0327911376953,2.5377034035045654e-05,0.0,188.87506103515625,0.0,0.0,0.0,-0.011113157495856285,0.004726035054773092,0.46567338705062866,-0.03398730233311653,0.009588319808244705,-0.026645448058843613,0.015146281570196152,0.37592974305152893,-0.2625584900379181,0.24319155514240265,-0.4095360040664673,-0.6382608413696289,0.4459255337715149,-0.399746835231781,0.7322551012039185
2,0.0,0.0,0.0,8.78113951330306e-06,0.0,65.35587310791016,0.0,0.0,0.0,0.0,0.0,0.0,-0.009505435824394226,-0.029611067846417427,0.20826931297779083,-0.0671258270740509,-0.08071249723434448,0.07654567062854767,0.08159016072750092,0.5340443849563599,-0.3030843436717987,0.2825562655925751,-0.5913190841674805,-0.7904894948005676,0.501041829586029,-0.47760340571403503,1.0133329629898071
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00738166831433773,-0.0418427437543869,-0.11450057476758957,-0.12084753811359406,-0.1412103921175003,0.2251519411802292,0.18591441214084625,0.6349303126335144,-0.28091904520988464,0.24369657039642334,-0.6941291093826294,-0.7961636781692505,0.5286453366279602,-0.540233850479126,1.0249985456466675
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006586803589016199,-0.03339584171772003,-0.5479640364646912,-0.12148740887641907,-0.18614806234836578,0.26750656962394714,0.22797729074954987,0.6254276633262634,-0.3109038770198822,0.2224522829055786,-0.6912556886672974,-0.6242266893386841,0.6860211491584778,-0.7692868709564209,0.7977091073989868
5,6.379700789693743e-05,0.0,474.8255310058594,0.0,0.0,0.0,0.0,0.0,0.0,5.940730625297874e-05,0.0,442.1540832519531,0.007889746688306332,-0.07465086132287979,-0.19471235573291779,-0.15588684380054474,-0.2307288646697998,0.19869887828826904,0.20411452651023865,0.6706838011741638,-0.3728344142436981,0.28381070494651794,-0.7381865382194519,-0.6979155540466309,0.8497775793075562,-0.9866591691970825,0.8575731515884399
6,4.1676707041915506e-05,0.0,310.1895446777344,0.0,0.0,0.0,0.0,0.0,0.0,2.927330024249386e-05,0.0,217.8740234375,0.01802743598818779,-0.13518941402435303,-0.1631929576396942,-0.15336665511131287,-0.2607457637786865,0.13078530132770538,0.21107208728790283,0.6950273513793945,-0.4614581763744354,0.4091395139694214,-0.7646476030349731,-0.7364534139633179,1.028361439704895,-1.1452522277832031,0.8987734317779541
7,3.473484321148135e-05,0.0,258.52294921875,0.0,0.0,0.0,0.0,0.0,0.0,3.555395232979208e-05,0.0,264.619384765625,0.01224803738296032,-0.1966104954481125,-0.08885366469621658,-0.11697962880134583,-0.2811892628669739,0.12120690196752548,0.24247118830680847,0.7184407711029053,-0.5498995780944824,0.549922525882721,-0.7779529094696045,-0.7620304822921753,1.1441595554351807,-1.1838198900222778,0.9224082231521606
8,2.778158159344457e-05,0.0,206.77151489257812,0.0,0.0,0.0,0.0,0.0,0.0,2.836039857356809e-05,0.0,211.07949829101562,0.01718236319720745,-0.2331141084432602,-0.13726729154586792,-0.07870642095804214,-0.3119141757488251,0.12048965692520142,0.2693941593170166,0.7356360554695129,-0.6189659833908081,0.6609683632850647,-0.792644739151001,-0.7735298871994019,1.1460204124450684,-1.1381877660751343,0.9458743333816528
9,1.9472965504974127e-05,0.0,144.93251037597656,0.0,0.0,0.0,0.0,0.0,0.0,2.6719626475824043e-05,0.0,198.86766052246094,0.01496795378625393,-0.26109039783477783,-0.19333015382289886,-0.03984089940786362,-0.3150686025619507,0.13569852709770203,0.2945668399333954,0.7547842264175415,-0.6305422782897949,0.7114691734313965,-0.8187659382820129,-0.7790079116821289,1.0580404996871948,-1.050441861152649,0.9905316829681396
