Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos,obs
0,0.0,0.0,0.0,1.557611653879576e-06,0.0,11.59292221069336,0.0,0.0,0.0,0.0,0.0,0.0,-0.2561240494251251,-0.3270282745361328,-0.24004361033439636,0.07734094560146332,0.03381448611617088,0.058551471680402756,0.014910844154655933,0.37443533539772034,-0.5297803282737732,0.511696994304657,-0.27778780460357666,-0.9180428981781006,0.8698188066482544,-0.6208202242851257,0.8800216913223267,"[-0.2561240494251251, -0.3270282745361328, -0.24004361033439636, -2.9114270210266113, -0.4740593135356903, -0.3130563795566559, -0.005920311436057091, 0.04463456571102142, -0.9989861249923706, 0.699999988079071, 0.0, 0.5042613744735718, 0.07734094560146332, 0.03381448611617088, 0.058551471680402756, 0.014910844154655933, -0.02556467056274414, -0.12978032231330872, 0.1116969883441925, 0.12221220135688782, -0.11804288625717163, 0.06981879472732544, 0.17917978763580322, 0.0800216794013977, 5.518043041229248, 0.636562705039978, 3.586256742477417, 0.06693342328071594, -4.907032489776611, -5.960150241851807, 2.8377535343170166, -2.103282928466797, 7.500002861022949, 7.586772918701172, -4.8356451988220215, -6.675055980682373, 3.688432216644287, -2.2765822410583496, 1.6994651556015015, -4.4879679679870605, -1.849617600440979, -2.873847484588623, -5.620133876800537, -6.702569961547852, 1.0942788124084473, 2.0993964672088623, 16.49138641357422, -1.4757715463638306, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,0.0,0.0,0.0,3.3150154195027426e-05,0.0,246.72848510742188,1.8544636986916885e-05,0.0,138.023193359375,0.0,0.0,0.0,-0.3856281638145447,-0.18684875965118408,-0.35352057218551636,0.16731326282024384,-0.0036654407158493996,0.10033748298883438,-0.05394663289189339,0.2680243253707886,-0.6339651346206665,0.5459158420562744,-0.36257264018058777,-0.9180428981781006,1.013779640197754,-0.7164028286933899,0.735971987247467,"[-0.3856281638145447, -0.18684875965118408, -0.35352057218551636, -0.8077347874641418, -0.20618806779384613, -0.8593147993087769, -0.014102000743150711, 0.07885942608118057, -0.9967862367630005, 0.699999988079071, 0.0, 0.5108147859573364, 0.16731326282024384, -0.0036654407158493996, 0.10033748298883438, -0.05394663289189339, -0.1319756805896759, -0.23396512866020203, 0.14591583609580994, 0.03742736577987671, 0.0, 0.21377962827682495, 0.08359718322753906, -0.06402802467346191, 4.299009799957275, -1.7209336757659912, 0.6510234475135803, -5.252259731292725, -5.6103196144104, -3.4231274127960205, 1.4460577964782715, -4.850754737854004, -3.5937409847974777e-07, 4.56583309173584, -6.99536657333374, -7.502404689788818, 2.265671491622925, -0.20085805654525757, -1.2781378030776978, 0.11892148852348328, -0.22234776616096497, 0.45243194699287415, -0.4349783658981323, 0.6317717432975769, 1.1189919710159302, -1.45969820022583, -8.857053756713867, -1.336192011833191, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,0.0,0.0,0.0,6.436315015889704e-05,0.0,479.0391845703125,0.0,0.0,0.0,0.0,0.0,0.0,-0.24886205792427063,-0.20243129134178162,-0.39847469329833984,0.2458038032054901,-0.016981927677989006,0.06200090050697327,-0.17457585036754608,0.16999965906143188,-0.6587251424789429,0.5430358648300171,-0.4419078528881073,-0.918042778968811,1.0514485836029053,-0.8537766337394714,0.585968017578125,"[-0.24886205792427063, -0.20243129134178162, -0.39847469329833984, 1.2594081163406372, 0.2723635733127594, -0.8051630258560181, -0.013511540368199348, 0.07180013507604599, -0.9973275065422058, 0.699999988079071, 0.0, 0.5197933912277222, 0.2458038032054901, -0.016981927677989006, 0.06200090050697327, -0.17457585036754608, -0.2300003468990326, -0.2587251365184784, 0.1430358588695526, -0.04190784692764282, 1.1920928955078125e-07, 0.2514485716819763, -0.05377662181854248, -0.21403199434280396, 2.4777026176452637, -1.5721125602722168, -3.6264963150024414, -6.266119480133057, -4.203393459320068, -1.651147723197937, -0.8331286311149597, -3.0170958042144775, -0.00017350324196740985, 2.4752039909362793, -6.923829555511475, -7.386312007904053, -0.9050986170768738, 0.1742783784866333, 0.28973400592803955, 0.0908735990524292, 0.11698662489652634, 1.8313839435577393, 1.2023614645004272, 0.6232544779777527, 1.8294389247894287, 0.5843255519866943, -11.859213829040527, -0.7372695207595825, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
3,0.0,0.0,0.0,4.124419137951918e-05,0.0,306.970458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.015184680931270123,-0.30950042605400085,-0.3053577244281769,0.25708985328674316,-0.03947916626930237,0.008274336345493793,-0.2508629560470581,0.12304721772670746,-0.667818546295166,0.5471404790878296,-0.450662225484848,-0.918042778968811,1.0635786056518555,-1.004778265953064,0.5033841133117676,"[0.015184680931270123, -0.30950042605400085, -0.3053577244281769, 0.8669016361236572, 0.17544621229171753, -0.359541654586792, -0.009641768410801888, 0.04784001410007477, -0.9988086819648743, 0.699999988079071, 0.0, 0.5254033803939819, 0.25708985328674316, -0.03947916626930237, 0.008274336345493793, -0.2508629560470581, -0.2769528031349182, -0.26781854033470154, 0.1471404731273651, -0.050662219524383545, 1.1920928955078125e-07, 0.2635785937309265, -0.204778254032135, -0.2966158986091614, -0.324601948261261, -0.5818585753440857, -1.5284457206726074, -1.7807554006576538, -1.2754038572311401, -0.6641556024551392, 1.3679300546646118, 1.3751626014709473, -0.00017620529979467392, 1.167755126953125, -7.50364351272583, -2.059006929397583, -0.4389423727989197, -0.8841975331306458, -0.34710240364074707, 1.3508464097976685, -0.09831405431032181, 0.33033445477485657, 1.8639535903930664, 2.465693950653076, 1.9975570440292358, -0.06731373071670532, -18.01421356201172, -0.5963671207427979, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
4,0.0,0.0,0.0,1.3092049812257756e-05,0.0,97.44092559814453,0.0,0.0,0.0,2.4196218873839825e-05,0.0,180.0865478515625,0.24145139753818512,-0.31854236125946045,-0.30319103598594666,0.2015080600976944,-0.050168100744485855,-0.013875706121325493,-0.24528996646404266,0.12418016046285629,-0.6649486422538757,0.6261950135231018,-0.36265960335731506,-0.9180428981781006,1.0678565502166748,-1.1554912328720093,0.47893592715263367,"[0.24145139753818512, -0.31854236125946045, -0.30319103598594666, 1.667799711227417, 0.02075217105448246, 0.10654018074274063, -0.00819767452776432, 0.025293713435530663, -0.9996464848518372, 0.699999988079071, 0.0, 0.5258060693740845, 0.2015080600976944, -0.050168100744485855, -0.013875706121325493, -0.24528996646404266, -0.2758198380470276, -0.26494863629341125, 0.22619500756263733, 0.037340402603149414, 0.0, 0.26785653829574585, -0.3554912209510803, -0.3210640847682953, -4.660783767700195, -0.8872098326683044, -1.5977824926376343, -0.16098105907440186, 0.6401852965354919, 0.2930110692977905, 5.344810485839844, 5.250910758972168, -0.00024988644872792065, 0.20417165756225586, -7.476762771606445, -3.3465588092803955, -1.27413010597229, -0.7348926663398743, -0.35526421666145325, 0.7048717737197876, -0.29775869846343994, -0.8424308896064758, 1.7800525426864624, 2.7705330848693848, 1.3652455806732178, 0.545534610748291, -20.76380729675293, -0.7856893539428711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625273504643701e-05,0.0,344.247802734375,0.2985180914402008,-0.0966668576002121,-0.182962566614151,0.10710365325212479,-0.093532495200634,-0.02993183769285679,-0.25900864601135254,0.14161835610866547,-0.6678986549377441,0.743476390838623,-0.3825809061527252,-0.9180428981781006,1.0780024528503418,-1.3055078983306885,0.5066655874252319,"[0.2985180914402008, -0.0966668576002121, -0.182962566614151, 0.07571707665920258, 0.89265376329422, -0.23289576172828674, 0.0037696619983762503, 0.009843108244240284, -0.9999443888664246, 0.699999988079071, 0.0, 0.527640700340271, 0.10710365325212479, -0.093532495200634, -0.02993183769285679, -0.25900864601135254, -0.2583816647529602, -0.26789864897727966, 0.34347638487815857, 0.017419099807739258, 0.0, 0.27800244092941284, -0.5055078864097595, -0.293334424495697, -4.520812034606934, -2.664536714553833, -0.06128571555018425, -0.15545205771923065, 1.0354361534118652, -0.7442998290061951, 6.287492275238037, -1.7428518533706665, 3.433364099691971e-06, 1.252351999282837, -7.500126361846924, 2.0448718070983887, -0.9239956736564636, -0.5618711709976196, -0.020319215953350067, 0.3999713957309723, 0.2674534320831299, -1.1240007877349854, 2.3502893447875977, 1.7471505403518677, 1.3634213209152222, 0.568795919418335, -23.382354736328125, -1.0717123746871948, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
6,0.0,0.0,0.0,9.721991318656364e-07,0.0,7.23583984375,0.0,0.0,0.0,3.8063917600084096e-05,0.0,283.3004150390625,0.40960729122161865,-0.006463122554123402,-0.22294792532920837,0.022063497453927994,-0.138220876455307,-0.0014077064115554094,-0.23709698021411896,0.17397399246692657,-0.7014849781990051,0.8814790844917297,-0.3599309027194977,-0.9180429577827454,1.1089569330215454,-1.4538466930389404,0.4522627592086792,"[0.40960729122161865, -0.006463122554123402, -0.22294792532920837, -1.7264500856399536, 1.2428702116012573, -0.09381905943155289, 0.025613117963075638, 0.029840193688869476, -0.9992263317108154, 0.699999988079071, 0.0, 0.5289450883865356, 0.022063497453927994, -0.138220876455307, -0.0014077064115554094, -0.23709698021411896, -0.2260260134935379, -0.30148497223854065, 0.48147907853126526, 0.0400691032409668, -5.960464477539063e-08, 0.30895692110061646, -0.6538466811180115, -0.34773725271224976, -3.99395489692688, -1.6876146793365479, 2.360823631286621, 1.7985203266143799, 1.8911646604537964, -2.10760498046875, 7.0228776931762695, 1.0936834812164307, 1.7759787169779884e-06, 1.716505765914917, -7.304738521575928, -2.8853559494018555, -1.3590795993804932, -0.17770421504974365, -0.15305066108703613, 0.32114872336387634, -0.25580894947052, -0.7330803871154785, 2.3964462280273438, 2.2431139945983887, 1.3146486282348633, 0.8089408874511719, -24.897708892822266, -0.03824701905250549, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
7,0.00012118127779103816,0.0,901.922607421875,4.471260581340175e-06,0.0,33.278499603271484,0.0,0.0,0.0,0.0,0.0,0.0,0.3554316759109497,-0.07743001729249954,-0.3095627725124359,-0.0332639217376709,-0.16018027067184448,0.030795086175203323,-0.1942920833826065,0.19524236023426056,-0.7386606931686401,1.0298197269439697,-0.2890861928462982,-0.9473201036453247,1.1412454843521118,-1.5996246337890625,0.4984157085418701,"[0.3554316759109497, -0.07743001729249954, -0.3095627725124359, -0.16838324069976807, 0.6038451790809631, 0.4712545871734619, 0.04681108146905899, 0.05599772185087204, -0.9973326921463013, 0.699999988079071, 0.0, 0.5266507863998413, -0.0332639217376709, -0.16018027067184448, 0.030795086175203323, -0.1942920833826065, -0.20475764572620392, -0.33866068720817566, 0.6298197507858276, 0.11091381311416626, -0.02927720546722412, 0.34124547243118286, -0.7996246218681335, -0.30158430337905884, 0.029254823923110962, -1.4239542484283447, 0.33256852626800537, 1.2181034088134766, 0.05503030866384506, -1.1464663743972778, 7.4398627281188965, 5.041159629821777, -0.9210649728775024, 1.0194785594940186, -6.87679386138916, 2.890833616256714, -0.8578703999519348, -0.6519237756729126, -0.36123424768447876, 0.30953142046928406, 0.17262721061706543, -0.6193278431892395, 2.5151736736297607, 1.2938796281814575, 1.1905869245529175, 0.36155393719673157, -25.15981674194336, -0.8319050073623657, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,8.41193541418761e-05,0.0,626.0797729492188,1.420305034116609e-05,0.0,105.70982360839844,0.0,0.0,0.0,0.0,0.0,0.0,0.20595355331897736,-0.14996430277824402,-0.17636284232139587,-0.0840943455696106,-0.20567642152309418,-0.008685892447829247,-0.2100134938955307,0.20198585093021393,-0.7299356460571289,1.1787893772125244,-0.1520802229642868,-0.9479356408119202,1.1448278427124023,-1.7476881742477417,0.45134657621383667,"[0.20595355331897736, -0.14996430277824402, -0.17636284232139587, 3.274167537689209, -0.6652207970619202, 0.5509647130966187, 0.044969603419303894, 0.013677084818482399, -0.998894453048706, 0.699999988079071, 0.0, 0.5212138891220093, -0.0840943455696106, -0.20567642152309418, -0.008685892447829247, -0.2100134938955307, -0.19801415503025055, -0.32993564009666443, 0.7787894010543823, 0.24791978299617767, -0.02989274263381958, 0.3448278307914734, -0.9476881623268127, -0.3486534357070923, -3.5198514461517334, -2.3875749111175537, -2.5641090869903564, -1.54856276512146, 0.1857779324054718, 0.8787441849708557, 7.41788911819458, 7.14924955368042, 1.3704414367675781, 0.05588686466217041, -7.346993923187256, -3.139526128768921, -0.2841072678565979, -1.1462180614471436, -0.28418493270874023, 0.12064358592033386, -0.45828378200531006, -1.2997889518737793, 1.855204701423645, 0.9126138091087341, 1.0862352848052979, 0.333969384431839, -22.73974609375, -1.215321660041809, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,3.44967920682393e-05,0.0,256.7511901855469,3.92149149774923e-06,0.0,29.186702728271484,0.0,0.0,0.0,8.338217594427988e-05,0.0,620.5931396484375,0.06550973653793335,-0.14514407515525818,-0.004477388691157103,-0.13914766907691956,-0.25525903701782227,-0.026778580620884895,-0.24881725013256073,0.20229025185108185,-0.7203278541564941,1.3096884489059448,-0.06822942942380905,-0.9201393127441406,1.1518595218658447,-1.8962044715881348,0.45334431529045105,"[0.06550973653793335, -0.14514407515525818, -0.004477388691157103, 1.8397327661514282, -0.7432001233100891, 0.15124128758907318, 0.0284124743193388, -0.04339299350976944, -0.998653769493103, 0.699999988079071, 0.0, 0.5175846815109253, -0.13914766907691956, -0.25525903701782227, -0.026778580620884895, -0.24881725013256073, -0.19770975410938263, -0.32032784819602966, 0.9096884727478027, 0.33177056908607483, -0.002096414566040039, 0.35185950994491577, -1.0962045192718506, -0.3466556966304779, -1.4335455894470215, -1.9445812702178955, 1.123435378074646, -1.8921098709106445, 0.1818227618932724, 0.16179046034812927, 5.718326091766357, 1.134278655052185, -0.1317296177148819, 0.04367172718048096, -7.396661758422852, 6.224419116973877, -0.3205066919326782, -0.7671778798103333, 0.1316738724708557, 0.22147032618522644, -0.12501835823059082, -0.7661904692649841, 2.4116945266723633, 0.9222341179847717, 1.1388336420059204, 0.6266406774520874, -23.651445388793945, -1.6579176187515259, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
