Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos,obs
0,0.0,0.0,0.0,4.668289420806104e-06,0.0,34.74493408203125,0.0,0.0,0.0,0.0,0.0,0.0,-0.00906798243522644,-0.031237175688147545,0.6023299694061279,-0.020079992711544037,-0.00413164310157299,-0.02154076099395752,-0.004400229547172785,0.21153227984905243,-0.17731736600399017,0.1954343467950821,-0.24272844195365906,-0.37889543175697327,0.30149784684181213,-0.3346743881702423,0.4318743348121643,"[-0.00906798243522644, -0.031237175688147545, 0.6023299694061279, 0.00017300434410572052, -0.012342783622443676, -0.999923586845398, 4.209697723388672, -3.3984673023223877, -0.01844996213912964, -0.6792795658111572]"
1,0.0,0.0,0.0,4.696186806540936e-05,0.0,349.5257263183594,1.9557628547772765e-06,0.0,14.556264877319336,0.0,0.0,0.0,0.040066443383693695,-0.09515520185232162,0.4732162356376648,-0.023729121312499046,0.022471405565738678,-0.017987102270126343,0.022723248228430748,0.34224963188171387,-0.25389528274536133,0.2920213043689728,-0.40367043018341064,-0.5816805958747864,0.42657485604286194,-0.47278892993927,0.7300940752029419,"[0.040066443383693695, -0.09515520185232162, 0.4732162356376648, -0.0014438792131841183, -0.0016271292697638273, -0.9999977350234985, 4.153843402862549, -3.463862657546997, -0.038729727268218994, -0.695425271987915]"
2,0.0,0.0,0.0,0.0,0.0,0.0,2.853928890544921e-06,0.0,21.24109649658203,0.0,0.0,0.0,0.15977531671524048,-0.15083760023117065,0.16051854193210602,-0.026505928486585617,0.03970726206898689,0.11350501328706741,0.05455946922302246,0.48315876722335815,-0.17827264964580536,0.4223169684410095,-0.5669534802436829,-0.7690735459327698,0.3984619379043579,-0.5225793123245239,1.0368844270706177,"[0.15977531671524048, -0.15083760023117065, 0.16051854193210602, -0.0074758585542440414, 0.02167050540447235, -0.9997372627258301, 4.137979030609131, -3.4714369773864746, -0.051663339138031006, -0.6985235214233398]"
3,0.0,0.0,0.0,1.300217081734445e-05,0.0,96.77197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.13300319015979767,-0.14081336557865143,-0.10909366607666016,-0.09713023900985718,0.03296668455004692,0.26284563541412354,0.12564285099506378,0.5920729041099548,-0.06565998494625092,0.5083205699920654,-0.6763480305671692,-0.8186354637145996,0.3170213997364044,-0.6318162679672241,1.1115552186965942,"[0.13300319015979767, -0.14081336557865143, -0.10909366607666016, -0.010806728154420853, 0.036071114242076874, -0.999290406703949, 4.123328685760498, -3.476424217224121, -0.05188525468111038, -0.7010648250579834]"
4,1.5623942090314813e-05,0.0,116.2851791381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17978061735630035,-0.09045377373695374,-0.46042078733444214,-0.19241687655448914,-0.0077857146970927715,0.28076261281967163,0.2097834199666977,0.6700255870819092,-0.07177188247442245,0.5324926376342773,-0.6044778823852539,-0.744749903678894,0.4685748517513275,-0.8902781009674072,0.8642577528953552,"[0.17978061735630035, -0.09045377373695374, -0.46042078733444214, -0.0011968747712671757, 0.020679529756307602, -0.9997851848602295, 4.059669494628906, -3.538723945617676, -0.03967416286468506, -0.717362642288208]"
5,4.0238486690213904e-05,0.0,299.4851989746094,0.0,0.0,0.0,0.0,0.0,0.0,5.320063792169094e-05,0.0,395.9593200683594,0.15347936749458313,-0.060050588101148605,-0.2736980617046356,-0.24937880039215088,-0.13875140249729156,0.18540078401565552,0.1876341551542282,0.7204762101173401,-0.16250833868980408,0.5204065442085266,-0.580740213394165,-0.8211789131164551,0.7080382704734802,-1.1714649200439453,0.8541412949562073,"[0.15347936749458313, -0.060050588101148605, -0.2736980617046356, 0.0021784063428640366, -0.029585938900709152, -0.9995599985122681, 4.0057830810546875, -3.5904617309570312, -0.0234450101852417, -0.73089599609375]"
6,2.8834012482548133e-05,0.0,214.6044921875,0.0,0.0,0.0,0.0,0.0,0.0,5.65906593692489e-05,0.0,421.1904602050781,0.32606008648872375,-0.014779934659600258,-0.04825587570667267,-0.2406054139137268,-0.2322360873222351,0.15636833012104034,0.2140161544084549,0.7705288529396057,-0.3199574053287506,0.488262414932251,-0.565437376499176,-0.9064188003540039,0.8690498471260071,-1.353353500366211,0.8328121900558472,"[0.32606008648872375, -0.014779934659600258, -0.04825587570667267, 0.020518340170383453, -0.011261843144893646, -0.9997256994247437, 3.9573118686676025, -3.6318979263305664, -0.01768815703690052, -0.7414851188659668]"
7,4.4779131712857634e-05,0.0,333.2801208496094,0.0,0.0,0.0,0.0,0.0,0.0,6.034455509507097e-06,0.0,44.91297912597656,0.36116915941238403,-0.03629342094063759,-0.1133984923362732,-0.22349902987480164,-0.31601375341415405,0.16941887140274048,0.2384672462940216,0.8132573366165161,-0.48530247807502747,0.5116736888885498,-0.5341508984565735,-0.9491189122200012,1.071982741355896,-1.2907559871673584,0.8117039203643799,"[0.36116915941238403, -0.03629342094063759, -0.1133984923362732, 0.02866159752011299, 0.012049831449985504, -0.9995166063308716, 3.9204506874084473, -3.655839681625366, -0.014448940753936768, -0.7475931644439697]"
8,4.0426770283374935e-05,0.0,300.8865966796875,0.0,0.0,0.0,0.0,0.0,0.0,2.759755625447724e-05,0.0,205.40187072753906,0.3599531650543213,-0.10315605252981186,-0.17327487468719482,-0.21471157670021057,-0.3364759683609009,0.17308127880096436,0.25783318281173706,0.8509907126426697,-0.5946864485740662,0.5652050375938416,-0.530057966709137,-0.9451705813407898,1.1596380472183228,-1.203938364982605,0.8771417140960693,"[0.3599531650543213, -0.10315605252981186, -0.17327487468719482, 0.012688040733337402, 0.0180734284222126, -0.9997562170028687, 3.8930320739746094, -3.6668121814727783, -0.007756412029266357, -0.7512614727020264]"
9,1.390679335599998e-05,0.0,103.5048599243164,0.0,0.0,0.0,0.0,0.0,0.0,1.776726458047051e-05,0.0,132.23739624023438,0.37867122888565063,-0.1287982016801834,-0.22623179852962494,-0.20907843112945557,-0.31677767634391785,0.17961648106575012,0.2701174318790436,0.8836319446563721,-0.616647481918335,0.6033415794372559,-0.5276785492897034,-0.9311416149139404,1.0388764142990112,-1.0632307529449463,0.9519093036651611,"[0.37867122888565063, -0.1287982016801834, -0.22623179852962494, -0.004945230670273304, 0.014790521003305912, -0.9998786449432373, 3.8783082962036133, -3.6617910861968994, -0.0003933310799766332, -0.7512714862823486]"
