Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,1.3618276170745958e-05,0.0,101.35749816894531,9.40305289987009e-06,0.0,69.984619140625,0.0,0.0,0.0,8.196278213290498e-05,0.0,610.0289916992188,-0.07853830605745316,-0.006982914637774229,-0.0332740843296051,-0.0011245139176025987,-0.026405539363622665,0.0232306569814682,-0.020110445097088814,0.539885401725769,-0.41932663321495056,0.3359449803829193,-0.4337669909000397,-0.5670920014381409,0.8121252059936523,-0.7121204733848572,0.7826670408248901
1,2.7215153750148602e-05,0.0,202.55572509765625,1.6086093523881573e-07,0.0,1.1972486972808838,1.092379625333706e-05,0.0,81.30314636230469,7.691064092796296e-05,0.0,572.4270629882812,0.028649279847741127,0.08946201205253601,0.037735238671302795,0.002283181296661496,-0.07595924288034439,0.07363080233335495,-0.03716553747653961,0.6225113868713379,-0.3953733444213867,0.3749959468841553,-0.4453875422477722,-0.6716231107711792,0.8542340993881226,-0.7491617798805237,0.8073201775550842
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.906584894750267e-05,0.0,514.0401611328125,0.09060990810394287,0.202827587723732,0.0780065655708313,-0.0042064739391207695,-0.14014044404029846,0.09392939507961273,-0.05835353955626488,0.6789131164550781,-0.3859584331512451,0.4031951427459717,-0.4388969838619232,-0.6850742697715759,0.915571391582489,-0.7653935551643372,0.7915762066841125
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2667059208033606e-05,0.0,391.988037109375,0.17123942077159882,0.28123965859413147,0.0314650684595108,-0.021073728799819946,-0.1846301555633545,0.11654143780469894,-0.06749832630157471,0.7280148267745972,-0.40795382857322693,0.46380817890167236,-0.41930603981018066,-0.7170982956886292,0.9820390939712524,-0.8672298192977905,0.742762565612793
4,3.753347118617967e-05,0.0,279.3524169921875,0.0,0.0,0.0,0.0,0.0,0.0,4.6015207772143185e-05,0.0,342.4799499511719,0.227413147687912,0.3280228078365326,-0.0007373166736215353,-0.01899280585348606,-0.22316326200962067,0.13366472721099854,-0.08027687668800354,0.7536255121231079,-0.4473928213119507,0.5455559492111206,-0.39579808712005615,-0.7433232665061951,1.0430303812026978,-0.9673459529876709,0.6825438141822815
5,2.6241525119985454e-05,0.0,195.30926513671875,0.0,0.0,0.0,0.0,0.0,0.0,3.554499926394783e-05,0.0,264.552734375,0.2767334580421448,0.3552325665950775,-0.013813956640660763,-0.020467186346650124,-0.25415804982185364,0.15789487957954407,-0.09987190365791321,0.7738751173019409,-0.48523256182670593,0.6342465281486511,-0.3699045181274414,-0.7619494795799255,1.053765892982483,-1.0531114339828491,0.6214742660522461
6,1.8913944586529396e-05,0.0,140.7718505859375,0.0,0.0,0.0,0.0,0.0,0.0,3.829248817055486e-05,0.0,285.0016174316406,0.3189283609390259,0.3903323709964752,-0.04130729287862778,-0.020072635263204575,-0.2693324387073517,0.1904638111591339,-0.11928440630435944,0.7974255084991455,-0.516171395778656,0.7059534788131714,-0.3371219038963318,-0.7799215912818909,1.0209543704986572,-1.0604106187820435,0.5534889101982117
7,1.1084673133154865e-05,0.0,82.5005111694336,2.1106930034875404e-06,0.0,15.709371566772461,0.0,0.0,0.0,2.2905587684363127e-05,0.0,170.48069763183594,0.36670851707458496,0.44076263904571533,-0.09762543439865112,-0.021044714376330376,-0.27815017104148865,0.2162758708000183,-0.13968761265277863,0.8258313536643982,-0.5254136919975281,0.7549241781234741,-0.30342617630958557,-0.8018119931221008,0.956134021282196,-1.002056360244751,0.4824788570404053
8,0.0,0.0,0.0,3.951977123506367e-05,0.0,294.135986328125,2.7024059818359092e-05,0.0,201.1334686279297,0.0,0.0,0.0,0.40428027510643005,0.48258575797080994,-0.14267441630363464,-0.031671036034822464,-0.30775186419487,0.21828734874725342,-0.16394242644309998,0.8583894968032837,-0.5120830535888672,0.7806379199028015,-0.26196208596229553,-0.8314130902290344,0.952235996723175,-1.0099155902862549,0.4357678294181824
9,0.0,0.0,0.0,4.6800487325526774e-05,0.0,348.3245849609375,4.013998477603309e-05,0.0,298.7521057128906,0.0,0.0,0.0,0.42597267031669617,0.4864369034767151,-0.10393062978982925,-0.05971403047442436,-0.3382079303264618,0.21147675812244415,-0.1711203008890152,0.8910307884216309,-0.49493226408958435,0.798888087272644,-0.21556614339351654,-0.9013509154319763,0.9457752108573914,-1.0321372747421265,0.46124985814094543
