Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,0.0,0.0,0.0,3.213184072592412e-06,0.0,23.914941787719727,0.0,0.0,0.0,0.0,0.0,0.0,0.2896381616592407,0.43480461835861206,0.3498847186565399,-0.021452924236655235,-0.025438804179430008,-0.00689464807510376,-0.026096342131495476,0.4497230648994446,-0.2567015290260315,0.251169890165329,-0.4216162860393524,-0.5423411130905151,0.6182690858840942,-0.7045101523399353,0.5562463998794556
1,2.6262296159984544e-05,0.0,195.4638671875,0.0,0.0,0.0,0.0,0.0,0.0,4.1844465158646926e-05,0.0,311.4381408691406,0.36712154746055603,0.4526444673538208,0.3880022168159485,-0.04053683578968048,-0.05179031565785408,0.004265555180609226,-0.04680544137954712,0.525087833404541,-0.29561808705329895,0.2976737320423126,-0.43191322684288025,-0.6469841599464417,0.6741569638252258,-0.6724703907966614,0.5933352708816528
2,0.0,0.0,0.0,0.0,0.0,0.0,1.5751804767205613e-06,0.0,11.72368335723877,0.0,0.0,0.0,0.3816687762737274,0.456278920173645,0.3250366151332855,-0.043092306703329086,-0.08254452049732208,0.06180357560515404,-0.06067590042948723,0.5926140546798706,-0.33005496859550476,0.35121673345565796,-0.4403356611728668,-0.6901606321334839,0.6988251209259033,-0.6760240793228149,0.61698317527771
3,0.0,0.0,0.0,2.846293000402511e-06,0.0,21.184263229370117,2.2391436687030364e-06,0.0,16.66539764404297,0.0,0.0,0.0,0.4212689995765686,0.49158450961112976,0.12173949182033539,-0.06272570043802261,-0.12742944061756134,0.11578203737735748,-0.10054904967546463,0.6625536680221558,-0.3522535562515259,0.41173630952835083,-0.42194026708602905,-0.7104440927505493,0.7095717191696167,-0.7158682346343994,0.5813234448432922
4,0.0,0.0,0.0,1.001877990347566e-05,0.0,74.56732177734375,4.015629656350939e-06,0.0,29.887351989746094,0.0,0.0,0.0,0.4600265324115753,0.48045337200164795,-0.033191289752721786,-0.09743155539035797,-0.16605281829833984,0.1591520756483078,-0.13601219654083252,0.7225344777107239,-0.3513435125350952,0.4807007610797882,-0.3740488290786743,-0.6969711184501648,0.7348235249519348,-0.7558098435401917,0.5349903106689453
5,0.0,0.0,0.0,3.124404975096695e-05,0.0,232.5418243408203,1.7881760868476704e-05,0.0,133.08956909179688,0.0,0.0,0.0,0.4541439116001129,0.48081156611442566,-0.1400328129529953,-0.1369740515947342,-0.18978522717952728,0.179972842335701,-0.15303000807762146,0.7763285040855408,-0.33831191062927246,0.5359845757484436,-0.31957435607910156,-0.7445643544197083,0.7477557063102722,-0.7929524183273315,0.5072948336601257
6,0.0,0.0,0.0,4.824863208341412e-05,0.0,359.102783203125,4.0397098928224295e-05,0.0,300.6657409667969,0.0,0.0,0.0,0.44393548369407654,0.4528445899486542,-0.12404311448335648,-0.16695868968963623,-0.21353676915168762,0.16809973120689392,-0.14968866109848022,0.8163000345230103,-0.3262077271938324,0.5577715635299683,-0.2832862436771393,-0.8169400095939636,0.7575662732124329,-0.8094054460525513,0.515495240688324
7,0.0,0.0,0.0,4.8641810280969366e-05,0.0,362.02911376953125,4.140391683904454e-05,0.0,308.15924072265625,0.0,0.0,0.0,0.4361092150211334,0.42855605483055115,-0.0514305904507637,-0.17868201434612274,-0.23118406534194946,0.1660255342721939,-0.10998670756816864,0.8405637741088867,-0.3115669786930084,0.5719522833824158,-0.2881651818752289,-0.9209919571876526,0.7624295353889465,-0.8162547945976257,0.6185920238494873
8,0.0,0.0,0.0,4.132957838010043e-05,0.0,307.60595703125,3.6518656997941434e-05,0.0,271.7994079589844,0.0,0.0,0.0,0.43616852164268494,0.42246803641319275,-0.009225956164300442,-0.18112444877624512,-0.25095030665397644,0.1651529222726822,-0.04800524562597275,0.8440879583358765,-0.2908816337585449,0.5819156169891357,-0.32743754982948303,-1.03857421875,0.756662130355835,-0.8184636831283569,0.741319477558136
9,0.0,0.0,0.0,3.7015663110651076e-05,0.0,275.4985046386719,3.183542867191136e-05,0.0,236.9433135986328,0.0,0.0,0.0,0.4448058605194092,0.42133545875549316,-0.010427854023873806,-0.17263834178447723,-0.27535101771354675,0.1621057689189911,0.024318667128682137,0.8288838267326355,-0.2649565637111664,0.5913006067276001,-0.39149099588394165,-1.1501867771148682,0.7437597513198853,-0.8187641501426697,0.8679434657096863
